id,cluster_id,absolute_url,case_name,date_filed,year,confidence,is_affirmance,is_notice_and_comment,agency,rule_short_name,cfr_citation,federal_register_citation,reasoning
186122,186122,/opinion/186122/assn-civ-tech-v-flra/,Assn Civ Tech v. FLRA,2004-01-09,2004,0.97,no,no,Federal Labor Relations Authority,FLRA negotiability determination on union bargaining proposal,,,"The court granted the petition for review and reversed the FLRA's negotiability determination, finding the union's proposal was negotiable—this is not an affirmance of the agency's interpretation. Additionally, the agency action at issue was an adjudicatory negotiability determination, not a notice-and-comment rulemaking. No Chevron Step Two affirmance occurred."
186124,186124,/opinion/186124/whitaker-julian-v-thompson-tommy/,"Whitaker, Julian v. Thompson, Tommy",2004-01-09,2004,0.72,no,yes,Food and Drug Administration (FDA),FDA Health Claim vs. Drug Claim Distinction (Saw Palmetto / BPH),21 C.F.R. § 101.75,,"The court found the statute ambiguous as to how to classify claims that meet both the 'drug claim' and 'health claim' definitions, and then deferred to the FDA's interpretation distinguishing treatment claims from prevention claims under Chevron step two, finding it reasonable. The court noted the agency reached its interpretation 'after a relatively formal process with public notice and comment,' triggering Chevron deference. However, the FDA's interpretation here was expressed in a letter deny"
7863044,7913992,/opinion/7913992/association-of-civilian-technicians-v-federal-labor-relations-authority/,Association of Civilian Technicians v. Federal Labor Relations Authority,2004-01-09,2004,0.95,no,no,Federal Labor Relations Authority,FLRA negotiability determination on union proposal regarding employee titles,,,"This is a concurring opinion in a case involving the FLRA's negotiability determination regarding a union proposal, not a notice-and-comment rulemaking. The court did not uphold the agency's interpretation at Chevron step two; rather, the concurrence disagrees with the majority's refusal to defer to the FLRA and argues deference is owed, but the court ultimately resolved the case on other grounds. The interpretation at issue arose from an adjudicatory negotiability proceeding, not a notice-and-c"
186114,186114,/opinion/186114/sierra-club-v-environmental-protection-agency/,Sierra Club v. Environmental Protection Agency,2004-01-13,2004,0.75,no,yes,Environmental Protection Agency,National Emission Standards for Hazardous Air Pollutants for Primary Copper Smelters,40 C.F.R. pt. 63,"67 Fed. Reg. 40,478","The court reviewed EPA's emission standards for primary copper smelters under the arbitrary and capricious standard, not Chevron step two. While the court upheld EPA's interpretive and policy choices, it did so under the APA's arbitrary and capricious review framework, citing Motor Vehicle Manufacturers and similar cases, rather than explicitly applying Chevron deference to an ambiguous statutory provision. The rule was promulgated through notice-and-comment rulemaking and codified at 40 C.F.R. "
186150,186150,/opinion/186150/sierra-club-v-environmental-protection-agency/,Sierra Club v. Environmental Protection Agency,2004-02-03,2004,0.55,yes,yes,Environmental Protection Agency,Conditional Approval of D.C. Area Ozone SIPs – Attainment Demonstration Based on Photochemical Grid Modeling,40 C.F.R. § 51.112,"68 Fed. Reg. 19,106","The court applied Chevron step two to uphold EPA's interpretation that an attainment demonstration can be 'based on' photochemical grid modeling even when supplemental statistical adjustments are used, finding the phrase ambiguous and EPA's construction permissible. This interpretation was embodied in a final rule issued through notice-and-comment rulemaking (68 Fed. Reg. 19,106, Apr. 17, 2003). However, the court simultaneously vacated other portions of the same action (the conditional approval"
186140,186140,/opinion/186140/cellco-partnership-v-federal-communications-commission/,Cellco Partnership v. Federal Communications Commission,2004-02-13,2004,0.35,yes,no,Federal Communications Commission,FCC Biennial Regulatory Review - Retention of International Reporting and Affiliation Rules,"47 C.F.R. §§ 43.61, 63.21",,"The court applied Chevron step two and deferred to the FCC's interpretation of 'necessary in the public interest' under Section 11 of the Telecommunications Act of 1996, finding the interpretation reasonable. However, the agency's interpretation of Section 11 was articulated in a biennial review report and order rather than a traditional notice-and-comment rulemaking that produced a new substantive regulation — the specific rules retained (47 C.F.R. §§ 43.61 and 63.21) were existing rules kept i"
784972,784972,/opinion/784972/cellco-partnership-dba-verizon-wireless-v-federal-communications/,"Cellco Partnership, D/B/A Verizon Wireless v. Federal Communications Commission and United States of America, Verizon Telephone Companies v. Federal Communications Commission and United States of America, At&t Corporation and Cingular Wireless Llc, Intervenors",2004-02-13,2004,0.35,yes,no,Federal Communications Commission,International Telecommunications Reporting and Foreign Affiliation Notification Rules (2000 Biennial Regulatory Review),"47 C.F.R. §§ 43.61, 63.21",17 FCC Rcd 11416,"The court applied Chevron deference and upheld the FCC's interpretation of 'necessary in the public interest' in Section 11 of the Telecommunications Act of 1996, finding it a permissible construction at step two. However, the primary interpretation being upheld was articulated in the FCC's March 2003 Report (a biennial review report), not a classic notice-and-comment rulemaking regulation; the underlying retained rules (47 C.F.R. §§ 43.61 and 63.21) were existing regulations whose retention was"
186139,186139,/opinion/186139/international-union-united-mine-workers-v-united-states-department-of/,"International Union, United Mine Workers v. United States Department of Labor",2004-02-20,2004,0.97,no,no,Mine Safety and Health Administration (MSHA),Air Quality Rule Withdrawal,,67 Fed. Reg. 60611,"The court did not uphold an agency interpretation at Chevron Step Two. Instead, the court found that the MSHA's decision to withdraw its proposed Air Quality rule was arbitrary and capricious under the APA because the agency failed to provide an adequate explanation. The Chevron analysis in the opinion was brief and occurred at Step One, where the court found Congress had directly spoken to the question of withdrawal authority. The court granted the petition and remanded to the agency."
7863056,7914003,/opinion/7914003/international-union-v-united-states-department-of-labor/,International Union v. United States Department of Labor,2004-02-20,2004,0.97,no,no,Mine Safety and Health Administration (MSHA),MSHA Air Quality Rule Withdrawal,,67 Fed. Reg. 60611,"The court did not uphold an agency interpretation at Chevron Step Two. Instead, the court applied Chevron Step One to find the statute unambiguously permitted withdrawal of a proposed rule, and then found the agency's withdrawal arbitrary and capricious under the APA, granting the petition and remanding. There was no affirmance of an agency interpretation of an ambiguous statute at Step Two, and the matter involved a withdrawal of a proposed rulemaking rather than a final notice-and-comment regu"
186132,186132,/opinion/186132/ne-md-wst-disposal-v-epa/,NE MD Wst Disposal v. EPA,2004-02-24,2004,0.85,no,yes,Environmental Protection Agency,Emission Guidelines and NSPS for Small Municipal Waste Combustion Units (2000 Rule),,"65 Fed. Reg. 76,378","The court applied Chevron and found the statute ambiguous at step one regarding subcategorization authority, and upheld EPA's interpretation as permissible under step two for the subcategorization question. However, the court ultimately granted the petition in part because EPA failed to provide any rationale for subcategorizing based on aggregate plant capacity, which is a procedural/arbitrary-capricious ground rather than a Chevron step two affirmance on the merits. Thus, while the court engage"
186134,186134,/opinion/186134/bullcreek-v-nuclear-regulatory-commission/,Bullcreek v. Nuclear Regulatory Commission,2004-02-24,2004,0.85,no,no,Nuclear Regulatory Commission,NRC Private Away-From-Reactor Spent Nuclear Fuel Storage Licensing,10 C.F.R. pt. 72,,"The court explicitly declined to resolve whether Chevron deference applied, stating the result was the same under de novo review, Skidmore deference, or Chevron deference. Because the court did not apply Chevron step two analysis, this is not a Chevron step two affirmance. Additionally, the NRC's interpretation was issued through an order denying a petition for rulemaking (an adjudicatory/order context), not through notice-and-comment rulemaking, even though existing regulations at 10 C.F.R. Par"
186135,186135,/opinion/186135/secretary-of-labor-v-ohio-valley-coal-co/,Secretary of Labor v. Ohio Valley Coal Co.,2004-02-24,2004,0.85,no,no,"Mine Safety and Health Administration (MSHA), Department of Labor",Repairs and Maintenance on Moving Machinery Safety Standard,30 C.F.R. § 75.1725(c),,"The court upheld the Secretary of Labor's interpretation of 30 C.F.R. § 75.1725(c), but this was an interpretation of an existing regulation offered through litigation/adjudication before the Federal Mine Safety and Health Review Commission, not a new notice-and-comment rulemaking. The court applied Chevron-style deference to the Secretary's litigating position, but the analysis focused on interpreting the existing regulatory language (treating it as ambiguous) rather than affirming a new notice"
785147,785147,/opinion/785147/northeast-maryland-waste-disposal-authority-v-environmental-protection/,Northeast Maryland Waste Disposal Authority v. Environmental Protection Agency,2004-02-24,2004,0.85,no,yes,Environmental Protection Agency,Emission Guidelines for Existing Small Municipal Waste Combustion Units,,"65 Fed. Reg. 76,378","Although the court found the statute ambiguous at Chevron step one regarding subcategorization authority and concluded EPA's interpretation was permissible, it did not ultimately uphold the agency's rule at Chevron step two. Instead, the court remanded the 2000 Rule to EPA because the agency failed to provide a rationale for subcategorizing based on aggregate plant capacity, expressly noting that courts cannot determine whether an interpretation is reasonable under Chevron step two without a sta"
